	E-DS-623	E-JT-526	E-LS-526	E-CR-2016	E-TL-2016	E-VP-2016	E-DS-428	E-TL-Aug-2014	E-SOG-3619	E-SOG-6527	E-SOG-5527	E-TL-Jul-2014	E-SOG-5619	E-CB-2016	E-SOG-2527	E-LH-2016	E-BP-2016	E-PM-Aug-2013	E-TI-2014	E-SOG-6424	E-SOG-1619	E-JP-2016	E-SOG-2619	E-FR-2014	E-LS-428	E-SOG-7424	E-WV-Aug-2014	E-WC-2016	E-SOG-1527	E-WV-7-2014	E-LS-623	E-TB-2016	E-PM-Jula-2014	E-PM-7-2014	E-MT-526	E-Tca-2014	E-WP-526	E-PM-2016	E-SOG-4424	E-WP-623	E-SOG-4527	E-WP-428	E-JT-428	E-DU-2016	E-SOG-1424	E-JT-623	E-DU-7-2014	E-BL-2016	E-DU-Jula-2014	E-MT-623	E-MT-428	E-TC-2014	E-TL-7-2014	E-SOG-3527	E-SOG-3424	E-SOG-2424	E-SOG-6619	E-SOG-5424
E-Tca-2014	0.22540022	0.20275545	0.178521	0.38925387	0.3386125	0.4286908	0.21075141	0.21402908	0.36246629	0.47583987	0.48503445	0.28181416	0.50462764	0.4629028	0.16449113	0.37762915	0.36520873	0.46038237	0.43425625	0.39204783	0.23381532	0.43234274	0.24602629	0.2370699	0.20756807	0.45231459	0.48656737	0.39900396	0.22373643	0.44905536	0.23462485	0.43206455	0.45365671	0.45820743	0.19070007	0.0	0.19918327	0.4335485	0.2278013	0.25201863	0.26672816	0.19838362	0.20025098	0.34143168	0.4076322	0.2542401	0.42009528	0.38610869	0.43932177	0.30032943	0.20607044	0.42900337	0.09776264	0.19788499	0.2068217	0.24839863	0.57200296	0.37371992
E-WP-526	0.11142507	0.09202266	0.06784515	0.34350902	0.28716199	0.43806997	0.12179936	0.21350411	0.32787164	0.4407578	0.44695232	0.29674245	0.46880619	0.50335933	0.12820008	0.3813372	0.37964696	0.43566196	0.43641464	0.37839928	0.12807243	0.43712665	0.1486409	0.16047363	0.1223886	0.4387041	0.46414854	0.38444755	0.22787654	0.43412249	0.13400286	0.42373576	0.45553058	0.49956878	0.0795893	0.19918327	0.0	0.47098793	0.18051591	0.11929706	0.20114287	0.12317869	0.12641057	0.32412153	0.38115797	0.13905565	0.40297705	0.30413652	0.42580838	0.16881326	0.10692775	0.45430286	0.19883235	0.0828906	0.13904993	0.20343358	0.54778555	0.35502367
E-PM-2016	0.4888426	0.47345711	0.47225044	0.60409361	0.55162356	0.15197924	0.48817373	0.4916948	0.29061549	0.39374003	0.47047315	0.49408126	0.3684212	0.16446708	0.43091795	0.17258225	0.16209011	0.34297237	0.28552191	0.27060405	0.47954134	0.1247578	0.44489585	0.49355566	0.47211735	0.24759375	0.38280097	0.1875217	0.31322645	0.28639344	0.49635459	0.21158247	0.28390211	0.16017277	0.48254585	0.4335485	0.47098793	0.0	0.41012784	0.49376991	0.36557448	0.48744488	0.48126874	0.22382838	0.35422878	0.50776888	0.30194822	0.56131981	0.23697523	0.51026287	0.47785408	0.24630035	0.45197846	0.47320063	0.45599204	0.35806489	0.5529356	0.27761758
E-SOG-4424	0.18398804	0.18549823	0.17917808	0.35098325	0.34239922	0.36091686	0.15098317	0.19734586	0.28946817	0.38071471	0.41650289	0.33234778	0.42056624	0.44198206	0.18611927	0.30360303	0.30391375	0.36652027	0.35838303	0.28982623	0.16300162	0.36372474	0.14380843	0.18862808	0.13492891	0.34277497	0.37498167	0.36507292	0.17326591	0.34199442	0.18169475	0.34512039	0.39947833	0.42825823	0.17573251	0.2278013	0.18051591	0.41012784	0.0	0.21192023	0.15559346	0.15752082	0.13874418	0.25151458	0.25978898	0.19730806	0.30551746	0.36550467	0.35774651	0.26468031	0.18642394	0.37619279	0.22614194	0.16817917	0.11446	0.11127809	0.51669596	0.2628221
E-WP-623	0.09049109	0.13278822	0.13563733	0.34259938	0.25782353	0.45692241	0.16997	0.23844499	0.33059476	0.416648	0.4280941	0.31690559	0.44479157	0.52517537	0.17809792	0.40515252	0.39902396	0.44018164	0.46583022	0.40572222	0.12497627	0.45609393	0.14141326	0.15119499	0.16519922	0.4415094	0.45740212	0.39139459	0.26420386	0.44245263	0.12274838	0.44762774	0.47513422	0.52135726	0.12623674	0.25201863	0.11929706	0.49376991	0.21192023	0.0	0.21922559	0.17962143	0.17718725	0.34992975	0.39216941	0.11874361	0.40761239	0.28142146	0.44125036	0.12611948	0.14273831	0.48263504	0.24829581	0.12837036	0.18645575	0.23076854	0.52418301	0.38227011
E-SOG-4527	0.20986372	0.21243945	0.20982242	0.35545439	0.3229188	0.32383206	0.20187347	0.23143272	0.25499393	0.36451429	0.40173003	0.32794542	0.40626442	0.40870902	0.17979245	0.25235341	0.26337409	0.33148669	0.30983235	0.28074525	0.18857296	0.325082	0.17620295	0.2217365	0.17969755	0.34489423	0.35454183	0.30731246	0.12915397	0.2886812	0.21347449	0.29650119	0.35510825	0.38025783	0.20693791	0.26672816	0.20114287	0.36557448	0.15559346	0.21922559	0.0	0.21428128	0.19938914	0.2086049	0.26200292	0.22464678	0.2629527	0.35417285	0.30904459	0.25694309	0.216766	0.33190423	0.2641232	0.19259811	0.1721711	0.12797907	0.50673848	0.26083164
E-WP-428	0.15222734	0.12377253	0.10757512	0.32026991	0.32065498	0.4532998	0.08253679	0.17115314	0.35762285	0.46488863	0.47877963	0.32312296	0.49120026	0.5143598	0.14168183	0.39508439	0.38832369	0.45025531	0.43347099	0.38975827	0.1365087	0.45476732	0.16853869	0.16756756	0.09329607	0.44676921	0.47359369	0.4171018	0.24206145	0.43943178	0.14355813	0.43928595	0.47005849	0.50860291	0.12237005	0.19838362	0.12317869	0.48744488	0.15752082	0.17962143	0.21428128	0.0	0.0657802	0.3398829	0.37606716	0.15355296	0.39731864	0.34905061	0.44450581	0.22678617	0.1114296	0.45759753	0.18243198	0.11341579	0.09537236	0.20552101	0.56418144	0.36409408
E-JT-428	0.14686744	0.12953407	0.11625566	0.31787537	0.31293492	0.44264226	0.08631665	0.17016816	0.33676189	0.44968491	0.46247897	0.3135827	0.47720886	0.50844756	0.14548047	0.38408245	0.37970137	0.43910769	0.42903749	0.38306811	0.13508068	0.44408208	0.15259543	0.1579795	0.08708667	0.43109385	0.46000587	0.40673402	0.23486141	0.42613066	0.13696887	0.42932397	0.46609329	0.50267451	0.12116179	0.20025098	0.12641057	0.48126874	0.13874418	0.17718725	0.19938914	0.0657802	0.0	0.32548386	0.36411502	0.15107458	0.38977576	0.34725361	0.43261613	0.22932905	0.1170249	0.45521589	0.18356132	0.11192641	0.0802048	0.19268579	0.55021238	0.35536276
E-DU-2016	0.33785674	0.32463121	0.3293524	0.46572247	0.42791366	0.17909444	0.33966627	0.34426766	0.19477587	0.33898839	0.41963085	0.406885	0.33361378	0.29640874	0.30733205	0.11462395	0.12735991	0.29149285	0.27299819	0.19460233	0.33527546	0.16943686	0.28922073	0.3420782	0.32119503	0.22481921	0.32012171	0.19722944	0.20478821	0.2085025	0.34407621	0.16902773	0.30604637	0.26344241	0.33381823	0.34143168	0.32412153	0.22382838	0.25151458	0.34992975	0.2086049	0.3398829	0.32548386	0.0	0.26772338	0.35569962	0.20623468	0.43616159	0.18574229	0.37455871	0.33132252	0.28883543	0.3397515	0.32344273	0.30515892	0.20588115	0.52920602	0.1928416
E-SOG-1424	0.38068364	0.38189207	0.38921324	0.47215535	0.46105336	0.29848992	0.36338781	0.3616881	0.28960399	0.32469335	0.41576015	0.43609686	0.38386636	0.37412136	0.36903857	0.25734937	0.26606757	0.31856719	0.24580253	0.21698995	0.3545353	0.30189184	0.33307489	0.37144256	0.35346901	0.27102641	0.31442217	0.3551224	0.27397997	0.24941476	0.38184465	0.25947899	0.36502167	0.34162093	0.38643559	0.4076322	0.38115797	0.35422878	0.25978898	0.39216941	0.26200292	0.37606716	0.36411502	0.26772338	0.0	0.39067206	0.25330978	0.48117577	0.30094865	0.41301971	0.38702174	0.25380539	0.39502986	0.37069125	0.32310166	0.21891597	0.51416502	0.1954098
E-JT-623	0.09740982	0.15087927	0.14515708	0.30036043	0.27833314	0.4672797	0.13920037	0.21218616	0.34629841	0.43361807	0.43680849	0.35639368	0.45777864	0.54246228	0.19503125	0.41586179	0.41876151	0.44974999	0.46889943	0.41778817	0.10734126	0.46434764	0.12443225	0.11448966	0.15436295	0.45315575	0.45694117	0.4105833	0.27176787	0.44701728	0.10708023	0.45483249	0.48529353	0.53750723	0.12976027	0.2542401	0.13905565	0.50776888	0.19730806	0.11874361	0.22464678	0.15355296	0.15107458	0.35569962	0.39067206	0.0	0.39624382	0.28661655	0.45365075	0.15153503	0.17004008	0.48520687	0.22232814	0.12821213	0.1642531	0.23544749	0.53712932	0.38925572
E-DU-7-2014	0.3925589	0.40411081	0.40739596	0.47555551	0.47911856	0.23538528	0.38146703	0.37515108	0.27401871	0.36961649	0.47160187	0.44861378	0.36826006	0.33818324	0.38809861	0.20435683	0.22050163	0.27605651	0.26013611	0.27181793	0.37322484	0.23254566	0.34549921	0.37858362	0.37263201	0.30658557	0.27087233	0.32404606	0.30534865	0.16537278	0.38917693	0.19160189	0.31119475	0.28768139	0.40391253	0.42009528	0.40297705	0.30194822	0.30551746	0.40761239	0.2629527	0.39731864	0.38977576	0.20623468	0.25330978	0.39624382	0.0	0.49193365	0.19533775	0.42782751	0.41033004	0.27589641	0.40575254	0.39204723	0.35801362	0.28599385	0.5574208	0.26010096
